APTV,Aptiv PLC,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
WTR,Aqua America, Inc.,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr
AQ,Aquantia Corp.,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
WAAS,AquaVenture Holdings Limited,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas
ARMK,Aramark,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abrn
ARC,ARC Document Solutions, Inc.,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/arc
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mt
ARCH,Arch Coal, Inc.,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
AROC,Archrock, Inc.,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arco
ARD,Ardagh Group S.A.,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/ard
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,n/a,n/a,https://www.nasdaq.com/symbol/afc
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acre
ARDC,Ares Dynamic Credit Allocation Fund, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/ardc
ARES,Ares Management L.P.,Finance,Investment Managers,https://www.nasdaq.com/symbol/ares
ARES^A,Ares Management L.P.,n/a,n/a,https://www.nasdaq.com/symbol/ares^a
AGX,Argan, Inc.,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/agx
ANET,Arista Networks, Inc.,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/ai
AI^B,Arlington Asset Investment Corp,n/a,n/a,https://www.nasdaq.com/symbol/ai^b
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aic
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aiw
AHH,Armada Hoffler Properties, Inc.,Finance,Real Estate,https://www.nasdaq.com/symbol/ahh
ARR,ARMOUR Residential REIT, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/arr
ARR^A,ARMOUR Residential REIT, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/arr^a
ARR^B,ARMOUR Residential REIT, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/arr^b
AFI,Armstrong Flooring, Inc.,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/afi
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/awi
ARW,Arrow Electronics, Inc.,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/arw
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers,https://www.nasdaq.com/symbol/apam
ASA,ASA Gold and Precious Metals Limited,n/a,n/a,https://www.nasdaq.com/symbol/asa
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg
AHP,Ashford Hospitality Prime, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ahp
AHP^B,Ashford Hospitality Prime, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/ahp^b
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a,https://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a,https://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,n/a,n/a,https://www.nasdaq.com/symbol/aht^g
